abaĵuro 	Noun 	(archaic) lampshade 	From French abat-jour. 	 
senvestigi 	Verb 	(transitive) to undress 	From sen- +‎ vesto (“garment”) +‎ -igi. 	 
vestado 	Noun 	clothing, apparel 	From vesti +‎ -ado. 	 
vestiblo 	Noun 	vestibule 	Borrowed from French vestibule and English vestibule, from Latin vestibulum. 	 
veturi 	Verb 	To go by vehicle; to ride (around); to travel. 	Borrowed from French voiturer or voiture  +‎ -i. 	 
alveturi 	Verb 	to arrive by vehicle, vessel, etc.; to drive up, to pull up 	From al- +‎ veturi. 	 
veturado 	Noun 	travel, transport 	veturi +‎ -ado 	 
veturilo 	Noun 	vehicle 	  	 
kosmoveturilo 	Noun 	spacecraft 	From kosmo (“space”) +‎ veturilo (“vehicle”). 	 
ŝarĝveturilo 	Noun 	freight wagon 	ŝarĝi +‎ veturilo 	 
veturileto 	Noun 	little vehicle 	From veturilo +‎ -et-. 	 
petveturi 	Verb 	to hitchhike 	  	 
veziro 	Noun 	vizier 	Borrowed from Polish wezyr, German Vesir, Russian визи́рь (vizírʹ), French vizir and English vizier; ultimately from Turkish vezir, from Arabic وَزِير‎ (wazīr). 	 
ĉefveziro 	Noun 	grand vizier 	From ĉef- +‎ veziro (“vizier”). 	 
viando 	Noun 	meat 	Borrowed from French viande. 	 
vikario 	Noun 	vicar 	Borrowed from Latin vicārius, English vicar and French vicaire. 	 
vilaĝo 	Noun 	village 	Borrowed from English village, French village and Italian villaggio. 	 
vilaĝano 	Noun 	villager 	From vilaĝo (“village”) +‎ -ano (“member”). 	 
vilaĝanino 	Noun 	a female villager 	From vilaĝano +‎ -ino. 	 
vilaĝeto 	Noun 	hamlet 	From vilaĝo (“village”) +‎ -et- (diminutive suffix). 	 
vilo 	Noun 	rag 	Borrowed from Latin villus and French villosité. 	 
vinagro 	Noun 	vinegar 	Borrowed from French vinaigre and English vinegar. 	 
vinjeto 	Noun 	vignette (decorative design) 	From French vignette. 	 
vino 	Noun 	wine 	Borrowed from French vin, Latin vinum, Polish wino and English vine. 	 
pomvino 	Noun 	apple wine, cider 	Compound of pomo +‎ vino. 	 
vinbero 	Noun 	grape (fruit) 	From vino (“wine”) +‎ bero (“berry”). 	 
sekvinbero 	Noun 	(chiefly plural) raisin, currant 	Compound of seka +‎ vinbero. 	 
vinberujo 	Noun 	vine (climbing plant that produces grapes) 	From vinbero (“grape”) +‎ -ujo. 	 
vinglaso 	Noun 	wine glass 	Compound of vino +‎ glaso. 	 
violo 	Noun 	violet (flower) 	Borrowed from Italian viola, English violet, French violette and Polish fiołek. 	 
violonĉelo 	Noun 	violoncello, cello 	Borrowed from Italian violoncello, English violoncello, Russian виолонче́ль (violončélʹ), Polish wiolonczela, French violoncelle and German Violoncello. 	 
violono 	Noun 	violin 	Borrowed from French violon and English violin. 	 
violonisto 	Noun 	violinist 	violono +‎ -isto 	 
violonistino 	Noun 	female violinist 	From violonisto +‎ -ino. 	 
vipuro 	Noun 	viper 	Borrowed from English viper, French vipère and German Viper, ultimately from Latin vīpera. 	 
virto 	Noun 	virtue 	Borrowed from Latin virtus, English virtue and French vertu. 	 
virta 	Adjective 	virtuous 	From virto +‎ -a. 	 
virtuozo 	Noun 	virtuoso 	Borrowed from Italian virtuoso, English virtuoso, Polish wirtuoz, Russian виртуо́з (virtuóz), French virtuose and German Virtuose. 	 
vitriolo 	Noun 	vitriol (various sulfates) 	Borrowed from German Vitriol, Polish witriol, English vitriol and French vitriol. 	 
vitro 	Noun 	(uncountable) glass (substance) 	Borrowed from Latin vitrum, Italian vetro and French verre. 	 
okulvitro 	Noun 	eyeglasses, spectacles, pair of glasses[1] 	Compound of okulo (“eye”) +‎ vitro (“glass”). 	 
vivi 	Verb 	to live 	Borrowed from Italian vivere, French vivre and Latin vivō. 	 
revivigi 	Verb 	(transitive) to revive, bring back to life 	From re- +‎ viva +‎ -igi. 	 
travivi 	Verb 	to spend (live through) 	From tra (“through”) +‎ vivi (“to live”). 	 
viva 	Adjective 	alive 	  	 
vivadi 	Verb 	to live for a significant period of time 	From vivi (“to live”) +‎ -ad-. 	 
vivaĵo 	Noun 	living thing 	From vivi (“to live”) +‎ -aĵo. 	 
vive 	Adverb 	in a lively manner 	  	 
vivigi 	Verb 	(transitive) to bring to life, enliven 	From vivi +‎ -igi. 	 
vivo 	Noun 	life 	From vivi (“to live”) +‎ -o (nominal suffix). 	 
vivukrio 	Noun 	a cry of "long live" or "viva" (Esperanto: vivu!) 	From vivu +‎ krio. 	 
vizaĝo 	Noun 	(anatomy) face (front of head) 	Borrowed from French visage. 	 
vizaĝa 	Adjective 	facial 	  	 
viziero 	Noun 	visor 	Borrowed from French visière, German Visier and English visor. 	 
viziti 	Verb 	to visit 	Borrowed from English visit and French visiter. 	 
voĉo 	Noun 	(human) voice 	Borrowed from Italian voce, Latin vox, English voice and French voix. 	 
voĉkordoj 	Noun 	plural of voĉkordo 	  	 
vojaĝi 	Verb 	(intransitive) to travel 	Borrowed from French voyager and English voyage. 	 
vojaĝanto 	Noun 	one who is traveling (i.e. a traveler) 	singular present nominal active participle of vojaĝi 	 
vojo 	Noun 	way 	Borrowed from French voie. 	 
aervojo 	Noun 	airway 	From aero +‎ vojo. 	 
akvovojo 	Noun 	waterway 	From akvo +‎ vojo. 	 
aŭtovojo 	Noun 	road reserved for motorists, freeway/motorway/autoroute 	aŭto (“automobile”) +‎ vojo (“way”) 	 
ĉefvojo 	Noun 	major road, highway 	From ĉef- +‎ vojo. 	 
fervojo 	Noun 	railway 	From fero (“iron”) +‎ vojo (“way”). 	 
irvojo 	Noun 	walkway 	From iri (“to go”) +‎ vojo (“way”). 	 
irvojeto 	Noun 	path 	From irvojo (“walkway”) +‎ -et- (diminutive suffix). 	 
vojeto 	Noun 	path 	From vojo +‎ -et-. 	 
vojkruciĝo 	Noun 	crossroads 	From vojo +‎ kruciĝo. 	 
vojplano 	Noun 	route 	From vojo +‎ plano. 	 
vojsigno 	Noun 	road sign 	From vojo (“way”) +‎ signo (“sign”). 	 
vojsulko 	Noun 	trail 	From vojo +‎ sulko. 	 
voli 	Verb 	(transitive) to wish, to want 	Borrowed from German wollen, perhaps also Italian volere, Latin volō and French vouloir. 	 
vola 	Adjective 	voluntary 	  	 
vole 	Adverb 	voluntarily 	  	 
volo 	Noun 	volition 	  	 
volumo 	Noun 	A book volume. 	Borrowed from English volume and French volume. 	 
volupto 	Noun 	sexual pleasure, lust 	Borrowed from French volupté. 	 
vomi 	Verb 	to vomit 	Borrowed from French vomir nad English vomit. 	 
vualo 	Noun 	veil 	Borrowed from French voile (“veil”), Russian вуаль (vualʹ) and Polish wual. 	 
vulkano 	Noun 	(volcanology) volcano 	Borrowed from German Vulkan, Polish wulkan, Russian вулка́н (vulkán), French volcan and English volcano, all ultimately from Latin Vulcānus (“Vulcan, god of fire and forging”). 	 
vulkana 	Adjective 	volcanic 	From vulkano (“volcano”) +‎ -a. 	 
vulkanismo 	Noun 	(volcanology) volcanism 	  	 
vulkanologio 	Noun 	volcanology 	From vulkanologo (“volcanologist”) +‎ -io (“science practiced by”), from vulkano (“volcano”) +‎ -ologo (“-ologist”). 	 
vulkanologo 	Noun 	(volcanology) volcanologist 	From vulkano (“volcano”) +‎ -ologo (“-ologist”). 	 
zebro 	Noun 	zebra 	Borrowed from French zèbre, English zebra, Russian зе́бра (zébra) and German Zebra. 	 
zebra 	Adjective 	zebrine, hippotigrine 	From zebro (“zebra”) +‎ -a. 	 
zenito 	Noun 	zenith 	Borrowed from French zénith, Russian зени́т (zenít), Polish zenit, English zenith and German Zenit. 	 
zenita 	Adjective 	relating to the zenith 	From zenito (“zenith”) +‎ -a. 	 
zibelo 	Noun 	sable 	Borrowed from French zibeline, probably shortened under influence by German Zobel, Polish soból, Russian со́боль (sóbolʹ) and English sable. 	 
zinko 	Noun 	zinc 	Borrowed internationalism, from German Zink, English zinc, French zinc and Russian цинк (cink), etc. 	 
zizelo 	Noun 	suslik 	Borrowed from German Ziesel, English zizel and French zisel. 	 
